topic_id,cluster_size,papers_selected_from_cluster,avg_centrality,avg_diversity
0,208,31,0.6333675385954288,0.27477792
1,180,27,0.7080028194520208,0.2129628
2,137,20,0.681321339015543,0.27843785
3,158,23,0.6670012800376627,0.29209146
4,89,13,0.668738106998165,0.25203305
5,135,20,0.6545806911256579,0.29191145
6,104,15,0.6139642289624765,0.26608655
7,120,18,0.7184999311963717,0.25227433
8,74,11,0.6807869439189499,0.26289696
9,87,13,0.6308615389226497,0.26557478
10,88,13,0.6502411856570027,0.26646602
11,183,27,0.6683161680489942,0.27547187
12,108,16,0.6617973322669665,0.28374362
13,132,19,0.6580162836295186,0.27018264
14,62,9,0.7209536913902529,0.24438478
15,81,12,0.7579836624640005,0.23816445
16,60,9,0.6764103199044863,0.26393035
17,66,9,0.63588903121876,0.27107137
18,78,11,0.6405800023140051,0.28297877
19,52,7,0.6654210176605445,0.2619302
20,73,10,0.698823770023372,0.2450225
21,65,9,0.6665137011271257,0.26427537
22,56,8,0.6352622131151813,0.27805588
23,52,7,0.6687645270274236,0.27501097
24,81,12,0.7062820806915378,0.28327993
25,60,9,0.6450780883431435,0.32358658
26,40,6,0.6503212243318558,0.28286988
27,50,7,0.7337844949960709,0.23870355
28,33,4,0.7491228562412839,0.23100443
29,49,7,0.7260472348758152,0.22542752
30,47,7,0.7278700293378627,0.2622511
31,39,5,0.7187780829576346,0.27610826
32,33,4,0.6832871148080537,0.28724587
33,59,8,0.7271949118476803,0.21760541
34,50,7,0.664413623213768,0.2874958
35,41,6,0.7275808926035718,0.2243596
36,38,5,0.567015669063518,0.36105278
37,54,8,0.7376050927020885,0.23119576
38,43,6,0.6897064239479774,0.28621793
39,30,4,0.7554702659447988,0.24590169
40,28,4,0.7091929763555527,0.29251188
41,52,7,0.6147012429741713,0.374488
42,36,5,0.7241385413540734,0.23826239
43,30,4,0.6915370563666026,0.3218474
44,38,5,0.6186253871572646,0.32713756
45,23,3,0.6561342244562895,0.33553767
46,38,5,0.640996874947297,0.27390847
47,25,3,0.6235848605632782,0.3719417
48,45,6,0.6433429492844476,0.29202127
49,29,4,0.6504209832898502,0.2766396
50,37,5,0.7170565458568366,0.2886268
51,26,3,0.8157337674727807,0.17033067
52,29,4,0.6975517725122387,0.2818892
53,22,3,0.6914678486910734,0.33284962
54,24,3,0.7373427227139473,0.26742363
55,24,3,0.741126557191213,0.29818824
56,25,3,0.7289755702018738,0.26506484
57,23,3,0.7307851236799489,0.2794565
