topic_id,topic_name,cluster_size,size_category,papers_selected,selection_ratio,avg_centrality,avg_diversity
0,0_reasoning_visual_language_question,891,xxxlarge,133,0.14927048260381592,0.5327565,0.34324777
1,1_fuzzy_rules_fuzzy rules_rule,174,xxlarge,26,0.14942528735632185,0.55925107,0.38783067
2,2_graph_gnns_node_graph neural,172,xxlarge,25,0.14534883720930233,0.6297101,0.3356314
3,3_recommendation_users_user_items,171,xxlarge,25,0.14619883040935672,0.63271356,0.3386759
4,4_reinforcement_reinforcement learning_agents_policies,147,xlarge,22,0.14965986394557823,0.61679685,0.3571012
5,5_medical_clinical_health_patients,121,xlarge,18,0.1487603305785124,0.5910576,0.37842163
6,6_diagnosis_images_segmentation_cancer,112,xlarge,16,0.14285714285714285,0.6044368,0.3793183
7,7_students_tracing_knowledge tracing_cognitive,63,large,9,0.14285714285714285,0.6180059,0.3357713
8,8_clustering_matrix_factorization_cluster,55,large,8,0.14545454545454545,0.5851308,0.36633703
9,9_latent_generative_latent space_gans,53,large,7,0.1320754716981132,0.687695,0.36073
10,10_fault_fault diagnosis_diagnosis_wavelet,53,large,7,0.1320754716981132,0.61705697,0.3619211
11,11_adversarial_attacks_attack_robustness,51,large,7,0.13725490196078433,0.65824085,0.34421238
12,12_media_news_social_social media,47,large,7,0.14893617021276595,0.5655285,0.40755647
13,13_drug_molecular_protein_gene,44,large,6,0.13636363636363635,0.6547108,0.34305367
14,14_3d_pose_object_estimation,42,large,6,0.14285714285714285,0.60219187,0.3609754
15,15_demonstrations_robot_navigation_control,40,medium,6,0.15,0.61938196,0.3903896
16,16_monotonic_constraints_convex_shape,36,medium,5,0.1388888888888889,0.70705014,0.32555467
17,17_image_images_deep_reconstruction,31,medium,4,0.12903225806451613,0.66900396,0.33354208
18,18_credit_fraud_financial_risk,31,medium,4,0.12903225806451613,0.6612254,0.3797142
19,19_series_time series_forecasting_series classification,30,medium,4,0.13333333333333333,0.6405792,0.39795202
20,20_stock_financial_price_investment,26,medium,3,0.11538461538461539,0.65267605,0.39691576
21,21_malware_detection_malicious_intrusion,25,medium,3,0.12,0.74666405,0.3275881
22,22_traffic_urban_transportation_spatiotemporal,24,medium,3,0.125,0.68316907,0.36882198
23,23_eeg_pd_sleep_classification,23,medium,3,0.13043478260869565,0.59002405,0.3930204
24,24_topic_topics_topic models_topic modeling,23,medium,3,0.13043478260869565,0.7402868,0.3436298
25,25_consensus_distributed_security_privacy,23,medium,3,0.13043478260869565,0.6086642,0.4214112
26,26_physical_dynamics_equations_differential,23,medium,3,0.13043478260869565,0.6086803,0.41637877
27,27_spiking_biological_neurons_brain,22,medium,3,0.13636363636363635,0.6697571,0.38785717
28,28_privacy_federated_federated learning_fl,18,small,2,0.1111111111111111,0.7200013,0.28849882
29,29_materials_life_fatigue_prediction,17,small,2,0.11764705882352941,0.64378303,0.3696128
30,30_tensor_tensors_decomposition_tensor decomposition,17,small,2,0.11764705882352941,0.6406226,0.41624287
31,31_fairness_fair_trees_bias,16,small,2,0.125,0.77418375,0.28361014
32,32_sentiment_sentiment analysis_aspect_sentiment classification,16,small,2,0.125,0.77162373,0.29586866
33,33_emotion_multimodal_affective_fusion,15,small,2,0.13333333333333333,0.69751644,0.3632843
34,34_ecg_heart_deep_classification,15,small,2,0.13333333333333333,0.774219,0.3332433
35,35_bayesian_tractable_bayesian networks_compilation,15,small,2,0.13333333333333333,0.6105957,0.4267336
